,stock_price_at_STO_offer,STO_ask_fee,STO_ask_fee_type,STO_offer_datetime,STO_strike,STO_expiry_datetime,STO_days_long,STO_offer_ARR,STO_offer_TQI,STO_offer_strike_delta,STO_xtn_state,STO_contracts,option_type,stock_price_BTC_offer,BTC_bid_fee,BTC_bid_fee_type,BTC_offer_datetime,BTC_contracts,stock_price_at_open,STO_open_fee,STO_open_commsn,STO_open_proceeds,STO_open_datetime,STO_open_ARR,STO_open_TQI,STO_open_strike_delta,stock_price_at_close,STO_close_strike_delta,BTC_close_commsn,BTC_close_proceeds,STO_close_datetime,STO_close_ARR,STO_close_TQI,Called_close_fee,Called_close_commsn,Called_close_proceeds,STO_xtn_net_proceeds
43,81.81,0.29,Mid,2017-05-01 13:30:00,82.5,2017-05-12 16:00:00,11,0.117622873398451,0.081159782644931,0.689999999999998,ClosedCalled,10,C,,,,,,82.1,0.29,10,280,2017-05-01 15:30:00,0.117207396744547,0.046882958697819,0.400000000000006,82.53,,,,2017-05-12 16:00:00,,,-0.030000000000001,10,-40.0000000000011,239.999999999999
44,82.1,0.38,Mid,2017-05-01 15:30:00,82.5,2017-05-12 16:00:00,11,0.153582106079061,0.061432842431625,0.400000000000006,ClosedCalled,10,C,,,,,,82.14,0.38,10,370,2017-05-01 16:00:00,0.153507315669478,0.055262633641012,0.359999999999999,82.53,,,,2017-05-12 16:00:00,,,-0.030000000000001,10,-40.0000000000011,329.999999999999
45,81.92,0.3,Mid,2017-05-02 15:30:00,82.5,2017-05-12 16:00:00,10,0.1336669921875,0.07752685546875,0.579999999999998,ClosedCalled,10,C,,,,,,82.04,0.3,10,290,2017-05-02 16:00:00,0.133471477328133,0.06139687957094,0.459999999999994,82.53,,,,2017-05-12 16:00:00,,,-0.030000000000001,10,-40.0000000000011,249.999999999999
46,82.58,0.58,Mid,2017-05-03 11:30:00,82.5,2017-05-12 16:00:00,9,0.284841635047496,-0.022787330803799,-0.079999999999998,ClosedCalled,10,C,,,,,,82.87,0.58,10,570,2017-05-03 15:30:00,0.283844843999303,-0.105022592279743,-0.370000000000005,82.53,,,,2017-05-12 16:00:00,,,-0.030000000000001,10,-40.0000000000011,529.999999999999
47,82.57,0.57,Mid,2017-05-03 13:30:00,82.5,2017-05-12 16:00:00,9,0.279964474587219,-0.019597513221104,-0.069999999999993,ClosedCalled,10,C,,,,,,82.87,0.57,10,560,2017-05-03 15:30:00,0.278950967378625,-0.103211857930093,-0.370000000000005,82.53,,,,2017-05-12 16:00:00,,,-0.030000000000001,10,-40.0000000000011,519.999999999999
48,81.53,0.195,Mid,2017-05-04 13:30:00,82.5,2017-05-12 16:00:00,8,0.1091239421072,0.105850223843984,0.969999999999999,ClosedCalled,10,C,,,,,,81.72,0.195,10,185,2017-05-04 15:30:00,0.108870227606461,0.08491877753304,0.780000000000001,82.53,,,,2017-05-12 16:00:00,,,-0.030000000000001,10,-40.0000000000011,144.999999999999
49,81.82,0.165,Mid,2017-05-05 13:30:00,82.5,2017-05-12 16:00:00,7,0.105152425184202,0.071503649125258,0.680000000000007,ClosedCalled,10,C,,,,,,82.01,0.165,10,155,2017-05-05 16:00:00,0.104908809030258,0.051405316424826,0.489999999999995,82.53,,,,2017-05-12 16:00:00,,,-0.030000000000001,10,-40.0000000000011,114.999999999999
50,81.94,0.165,Mid,2017-05-05 15:30:00,82.5,2017-05-12 16:00:00,7,0.104998430907633,0.058799121308275,0.560000000000002,ClosedCalled,10,C,,,,,,82.01,0.165,10,155,2017-05-05 16:00:00,0.104908809030258,0.051405316424826,0.489999999999995,82.53,,,,2017-05-12 16:00:00,,,-0.030000000000001,10,-40.0000000000011,114.999999999999
75,81.82,1.985,Mid,2017-05-01 11:30:00,80,2017-05-19 16:00:00,18,0.491950487520031,-0.895349887286452,-1.81999999999999,ClosedCalled,10,C,,,,,,82.1,1.985,10,1975,2017-05-01 15:30:00,0.490272702666125,-1.02957267559886,-2.09999999999999,81.93,,,,2017-05-19 16:00:00,,,-1.93000000000001,10,-1940.00000000001,34.9999999999932
76,81.81,1.965,Mid,2017-05-01 13:30:00,80,2017-05-19 16:00:00,18,0.487053334963126,-0.881566536283259,-1.81,ClosedCalled,10,C,,,,,,82.1,1.965,10,1955,2017-05-01 15:30:00,0.485332927324401,-1.01919914738124,-2.09999999999999,81.93,,,,2017-05-19 16:00:00,,,-1.93000000000001,10,-1940.00000000001,14.9999999999932
77,81.92,2.05,Mid,2017-05-02 15:30:00,80,2017-05-19 16:00:00,17,0.537288890165441,-1.03159466911765,-1.92,ClosedCalled,10,C,,,,,,82.04,2.05,10,2040,2017-05-02 16:00:00,0.536502997103278,-1.09446611409069,-2.04000000000001,81.93,,,,2017-05-19 16:00:00,,,-1.93000000000001,10,-1940.00000000001,99.9999999999927
78,81.53,1.715,Mid,2017-05-04 13:30:00,80,2017-05-19 16:00:00,15,0.511856576311378,-0.783140561756409,-1.53,ClosedCalled,10,C,,,,,,81.72,1.715,10,1705,2017-05-04 15:30:00,0.510666503507913,-0.87834638603361,-1.72,81.93,,,,2017-05-19 16:00:00,,,-1.93000000000001,10,-1940.00000000001,-235.000000000007
79,81.87,1.945,Mid,2017-05-05 11:30:00,80,2017-05-19 16:00:00,14,0.619383517423092,-1.15824717758119,-1.87,ClosedCalled,10,C,,,,,,81.94,1.945,10,1935,2017-05-05 15:30:00,0.61885438822832,-1.20057751316294,-1.94,81.93,,,,2017-05-19 16:00:00,,,-1.93000000000001,10,-1940.00000000001,-5.00000000000705
80,81.82,1.89,Mid,2017-05-05 13:30:00,80,2017-05-19 16:00:00,14,0.602236616964068,-1.0960706428746,-1.81999999999999,ClosedCalled,10,C,,,,,,81.94,1.89,10,1880,2017-05-05 15:30:00,0.601354649743715,-1.16662802050281,-1.94,81.93,,,,2017-05-19 16:00:00,,,-1.93000000000001,10,-1940.00000000001,-60.0000000000068
81,81.94,1.995,Mid,2017-05-05 15:30:00,80,2017-05-19 16:00:00,14,0.634763241396144,-1.23144068830852,-1.94,ClosedCalled,10,C,,,,,,82.01,1.995,10,1985,2017-05-05 16:00:00,0.634221436410194,-1.27478508718449,-2.01000000000001,81.93,,,,2017-05-19 16:00:00,,,-1.93000000000001,10,-1940.00000000001,44.9999999999932
82,81.82,1.995,Mid,2017-05-10 15:30:00,80,2017-05-19 16:00:00,9,0.988857655015074,-1.79972093212743,-1.81999999999999,ClosedCalled,10,C,,,,,,81.88,1.995,10,1985,2017-05-10 16:00:00,0.988133040221462,-1.85769011561634,-1.88,81.93,,,,2017-05-19 16:00:00,,,-1.93000000000001,10,-1940.00000000001,44.9999999999932
83,81.82,1.565,Mid,2017-05-01 11:30:00,80.5,2017-05-19 16:00:00,18,0.38786020804476,-0.51197547461908,-1.31999999999999,ClosedCalled,10,C,,,,,,82.1,1.565,10,1555,2017-05-01 15:30:00,0.386537420489918,-0.618459872783866,-1.59999999999999,81.93,,,,2017-05-19 16:00:00,,,-1.43000000000001,10,-1440.00000000001,114.999999999993
84,81.81,1.545,Mid,2017-05-01 13:30:00,80.5,2017-05-19 16:00:00,18,0.382950332070244,-0.501664935012021,-1.31,ClosedCalled,10,C,,,,,,82.1,1.545,10,1535,2017-05-01 15:30:00,0.381597645148193,-0.610556232237107,-1.59999999999999,81.93,,,,2017-05-19 16:00:00,,,-1.43000000000001,10,-1440.00000000001,94.9999999999932
85,81.92,1.615,Mid,2017-05-02 15:30:00,80.5,2017-05-19 16:00:00,17,0.42327880859375,-0.601055908203126,-1.42,ClosedCalled,10,C,,,,,,82.04,1.615,10,1605,2017-05-02 16:00:00,0.422659678205753,-0.650895904436863,-1.54000000000001,81.93,,,,2017-05-19 16:00:00,,,-1.43000000000001,10,-1440.00000000001,164.999999999993
86,81.53,1.32,Mid,2017-05-04 13:30:00,80.5,2017-05-19 16:00:00,15,0.393965411504967,-0.405784373850117,-1.03,ClosedCalled,10,C,,,,,,81.72,1.32,10,1310,2017-05-04 15:30:00,0.393049437102301,-0.479520313264806,-1.22,81.93,,,,2017-05-19 16:00:00,,,-1.43000000000001,10,-1440.00000000001,-130.000000000007
87,81.87,1.5,Mid,2017-05-05 11:30:00,80.5,2017-05-19 16:00:00,14,0.477673663822436,-0.65441291943674,-1.37,ClosedCalled,10,C,,,,,,81.94,1.5,10,1490,2017-05-05 15:30:00,0.477265595034694,-0.687262456849959,-1.44,81.93,,,,2017-05-19 16:00:00,,,-1.43000000000001,10,-1440.00000000001,49.9999999999932
88,81.82,1.45,Mid,2017-05-05 13:30:00,80.5,2017-05-19 16:00:00,14,0.462033383385131,-0.60988406606837,-1.31999999999999,ClosedCalled,10,C,,,,,,81.94,1.45,10,1440,2017-05-05 15:30:00,0.461356741866871,-0.664353708288294,-1.44,81.93,,,,2017-05-19 16:00:00,,,-1.43000000000001,10,-1440.00000000001,-6.82121026329696E-12
89,81.94,1.54,Mid,2017-05-05 15:30:00,80.5,2017-05-19 16:00:00,14,0.489992677568953,-0.705589455699291,-1.44,ClosedCalled,10,C,,,,,,82.01,1.54,10,1530,2017-05-05 16:00:00,0.489574442141202,-0.739257407633218,-1.51000000000001,81.93,,,,2017-05-19 16:00:00,,,-1.43000000000001,10,-1440.00000000001,89.9999999999932
