Unnamed: 0,stock_price_at_STO_offer,STO_ask_fee,STO_ask_fee_type,STO_offer_datetime,STO_strike,STO_expiry_datetime,STO_days_long,STO_offer_ARR,STO_offer_TQI,STO_offer_strike_delta,STO_xtn_state,STO_contracts,option_type,stock_price_BTC_offer,BTC_bid_fee,BTC_bid_fee_type,BTC_offer_datetime,BTC_contracts,stock_price_at_open,STO_open_fee,STO_open_commsn,STO_open_proceeds,STO_open_datetime,STO_open_ARR,STO_open_TQI,STO_open_strike_delta,stock_price_at_close,STO_close_strike_delta,BTC_close_commsn,BTC_close_proceeds,STO_close_datetime,STO_close_ARR,STO_close_TQI,Called_close_fee,Called_close_commsn,Called_close_proceeds,STO_xtn_net_proceeds
5018,5018,80.84,1.4449999999999998,Mid,2017-09-27 11:30:00,80.0,2017-10-20 16:00:00,23.0,0.2836655336359529,-0.23827904825420135,-0.8400000000000034,ClosedCalled,10.0,C,,,,,,80.99,1.4449999999999998,10.0,1434.9999999999998,2017-09-27 13:30:00,0.2831401622315154,-0.2803087606091988,-0.9899999999999948,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1665.0000000000039
5019,5019,80.99,1.54,Mid,2017-09-27 13:30:00,80.0,2017-10-20 16:00:00,23.0,0.3017549133816843,-0.2987373642478659,-0.9899999999999948,ClosedCalled,10.0,C,,,,,,81.35,1.54,10.0,1530.0,2017-09-27 15:30:00,0.3004195505197617,-0.4055663932016765,-1.3499999999999943,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1570.0000000000034
5020,5020,81.79,2.145,Mid,2017-09-29 11:30:00,80.0,2017-10-20 16:00:00,21.0,0.4558276422196216,-0.8159314795731256,-1.7900000000000065,ClosedCalled,10.0,C,,,,,,81.96,2.145,10.0,2135.0,2017-09-29 16:00:00,0.4548821724883218,-0.891569058077108,-1.9599999999999935,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-965.0000000000036
5021,5021,81.78,2.105,Mid,2017-09-29 13:30:00,80.0,2017-10-20 16:00:00,21.0,0.4473820587173485,-0.7963400645168809,-1.7800000000000011,ClosedCalled,10.0,C,,,,,,81.96,2.105,10.0,2095.0,2017-09-29 16:00:00,0.4463995212531085,-0.8749430616560897,-1.9599999999999935,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1005.0000000000036
5022,5022,81.72,2.05,Mid,2017-09-29 15:30:00,80.0,2017-10-20 16:00:00,21.0,0.43601263314919697,-0.7499417290166183,-1.7199999999999989,ClosedCalled,10.0,C,,,,,,81.96,2.05,10.0,2039.9999999999993,2017-09-29 16:00:00,0.4347358758046898,-0.8520823165771894,-1.9599999999999935,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1060.0000000000039
5023,5023,81.38,1.75,Mid,2017-10-02 11:30:00,80.0,2017-10-20 16:00:00,18.0,0.4360544496327245,-0.6017551404931577,-1.3799999999999957,ClosedCalled,10.0,C,,,,,,81.71,1.75,10.0,1740.0,2017-10-02 13:30:00,0.4342933681447939,-0.7426416595275949,-1.7099999999999935,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1360.0000000000034
5024,5024,81.54,1.885,Mid,2017-10-02 15:30:00,80.0,2017-10-20 16:00:00,18.0,0.4687712915269942,-0.7219077889515741,-1.5400000000000065,ClosedCalled,10.0,C,,,,,,81.64,1.885,10.0,1875.0,2017-10-02 16:00:00,0.4681970983722576,-0.7678432413305027,-1.6400000000000006,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1225.0000000000034
5025,5025,81.6,1.91,Mid,2017-10-03 11:30:00,80.0,2017-10-20 16:00:00,17.0,0.5025591118800462,-0.804094579008071,-1.5999999999999943,ClosedCalled,10.0,C,,,,,,81.94,1.91,10.0,1900.0,2017-10-03 13:30:00,0.5004738043618716,-0.9709191804620296,-1.9399999999999975,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1200.0000000000034
5026,5026,81.68,1.95,Mid,2017-10-04 13:30:00,80.0,2017-10-20 16:00:00,16.0,0.5446177154750245,-0.9149577619980448,-1.6800000000000068,ClosedCalled,10.0,C,,,,,,81.74,1.95,10.0,1940.0,2017-10-04 15:30:00,0.5442179471494984,-0.9469392280401244,-1.7399999999999949,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1160.0000000000034
5027,5027,81.83,2.035,Mid,2017-10-05 11:30:00,80.0,2017-10-20 16:00:00,15.0,0.605136665444621,-1.1074000977636551,-1.8299999999999983,ClosedCalled,10.0,C,,,,,,82.21,2.035,10.0,2025.0,2017-10-05 13:30:00,0.6023395369581966,-1.3311703766776108,-2.2099999999999937,83.09,,,,2017-10-20 16:00:00,,,-3.0900000000000034,10.0,-3100.000000000004,-1075.0000000000036
